Horodateur,Are you a musician ?,"Do you have experience in composition including drums ?  jazz composition, production on DAW software (Ableton, FL studio, etc)",Do you play drums ?,Which of these samples contains a drum fill ?,[Required] Can you give an overall grade to these fills ? [Sample 1],[Required] Can you give an overall grade to these fills ? [Sample 2],[Required] Can you give an overall grade to these fills ? [Sample 3],[Required] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? the less coherent ? [Most coherent],[Optional] Which fill is the most coherent with respect to the regular pattern ? the less coherent ? [Less coherent],[Optional] Which fill has the best groove ? worst groove ? [Best Groove],[Optional] Which fill has the best groove ? worst groove ? [Worst Groove],[Required] Can you give an overall grade to these fills ? [Sample 1],[Required] Can you give an overall grade to these fills ? [Sample 2],[Required] Can you give an overall grade to these fills ? [Sample 3],[Required] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Most coherent ],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Less coherent],[Optional] Which fill has the best groove ? worst groove ? [Best Groove],[Optional] Which fill has the best groove ? worst groove ? [Worst Groove ],[Required] Can you give an overall grade to these fills ? [Sample 1],[Required] Can you give an overall grade to these fills ? [Sample 2],[Required] Can you give an overall grade to these fills ? [Sample 3],[Required] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Most coherent],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Less coherent],[Optional] Which fill has the best groove ? Worst groove ? [Best groove ],[Optional] Which fill has the best groove ? Worst groove ? [Worst groove ],[Optional]Can you give an overall grade to these fills ? [Sample 1],[Optional]Can you give an overall grade to these fills ? [Sample 2],[Optional]Can you give an overall grade to these fills ? [Sample 3],[Optional]Can you give an overall grade to these fills ? [Sample 4],[Optional]Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Most coherent],[Optional]Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Less coherent],[Optional] Which fill has the best groove ? the worst groove ? [Best groove ],[Optional] Which fill has the best groove ? the worst groove ? [Worst groove],[Optional] Can you give an overall grade to these fills ? [Sample 1],[Optional] Can you give an overall grade to these fills ? [Sample 2],[Optional] Can you give an overall grade to these fills ? [Sample 3],[Optional] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [most coherent],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [less coherent],[Optional] Which fill has the best groove ? Worst groove ? [Best groove],[Optional] Which fill has the best groove ? Worst groove ? [Worst Groove],"(optional) If you are a producer, among the best fills you heard before, could you use it if you'd have them in MIDI format ?",(optional)In which region of the world are you living ?,(optional)if you want to leave a comment :
08/04/2019 16:58:16,I'm an amateur musician,less than 5 years,No,Sample 2,2,1 (Very bad Fill),4,5 (very good fill),Sample 4,Sample 1,Sample 4,Sample 1,2,1 (very bad fill),4,5 (very good fill),Sample 3,Sample 2,Sample 4,Sample 2,2,3,1 (very bad fill),4,Sample 4,Sample 3,Sample 1,Sample 3,3,4,3,2,Sample 2,Sample 4,Sample 2,Sample 4,2,3,4,3,Sample 3,Sample 2,Sample 3,Sample 2,No,Europe,
08/04/2019 17:14:24,I'm a semi-professional musician (I earn money with it but it's not my main activity),5 years and more,Yes it's my main instrument,Sample 2,1 (Very bad Fill),2,4,2,Sample 3,Sample 1,Sample 3,Sample 1,3,2,3,5 (very good fill),Sample 4,Sample 1,Sample 4,Sample 1,4,2,3,4,Sample 1,Sample 2,Sample 1,Sample 2,2,5 (very good fill),5 (very good fill),3,Sample 4,Sample 2,Sample 4,Sample 2,2,3,3,2,Sample 3,Sample 1,Sample 3,Sample 1,Yes,Europe,mashallah
08/04/2019 17:21:36,I'm an amateur musician,5 years and more,No,Sample 2,2,3,3,4,Sample 4,Sample 3,Sample 1,Sample 3,4,4,3,4,Sample 2,Sample 3,Sample 3,Sample 1,4,3,3,4,Sample 2,Sample 4,Sample 2,Sample 4,3,5 (very good fill),4,3,Sample 2,Sample 4,Sample 2,Sample 4,4,3,5 (very good fill),3,Sample 3,Sample 2,Sample 4,Sample 2,No,Europe,
08/04/2019 17:41:06,I'm not a musician,,,Sample 2,4,4,2,4,,,,,2,3,3,2,,,,,1 (very bad fill),2,4,4,,,,,4,3,2,3,,,,,,,,,,,,,,Europe,
08/04/2019 17:41:43,I'm an amateur musician,No experience,No,Sample 2,3,1 (Very bad Fill),3,1 (Very bad Fill),Sample 3,Sample 4,Sample 1,Sample 4,2,2,2,2,Sample 3,Sample 2,Sample 3,Sample 4,2,3,1 (very bad fill),2,Sample 1,Sample 3,Sample 2,Sample 3,4,2,4,3,Sample 3,Sample 2,Sample 1,Sample 2,1 (very bad fill),4,,2,Sample 2,Sample 1,Sample 2,Sample 1,,Europe,Have fun guys
08/04/2019 17:42:08,I'm an amateur musician,less than 5 years,No,Sample 2,1 (Very bad Fill),2,3,4,Sample 3,Sample 1,Sample 3,Sample 1,2,2,4,3,Sample 3,Sample 1,Sample 3,Sample 1,3,2,3,4,Sample 4,Sample 2,Sample 4,Sample 2,2,3,3,4,Sample 3,Sample 2,Sample 3,Sample 2,,,,,,,,,Yes,Europe,
08/04/2019 17:51:29,I'm an amateur musician,No experience,No,Sample 2,2,5 (very good fill),4,1 (Very bad Fill),Sample 4,Sample 3,Sample 3,Sample 1,2,1 (very bad fill),5 (very good fill),4,Sample 3,Sample 4,Sample 4,Sample 2,1 (very bad fill),2,4,5 (very good fill),Sample 3,Sample 2,Sample 3,,,,,,,,,,,,,,,,,,,Europe,
08/04/2019 18:00:16,I'm not a musician,,,Sample 1,4,2,5 (very good fill),3,Sample 1,Sample 2,Sample 3,Sample 2,3,4,2,1 (very bad fill),Sample 1,Sample 4,Sample 2,Sample 4,2,1 (very bad fill),5 (very good fill),1 (very bad fill),Sample 3,Sample 4,Sample 3,Sample 2,2,1 (very bad fill),3,2,Sample 3,Sample 2,Sample 3,Sample 2,2,3,4,1 (very bad fill),Sample 3,Sample 1,Sample 3,Sample 1,,Europe,<3
08/04/2019 18:05:04,I'm not a musician,,,Sample 2,2,3,4,4,Sample 4,Sample 2,Sample 3,Sample 1,2,3,3,1 (very bad fill),Sample 2,Sample 4,Sample 2,Sample 4,3,1 (very bad fill),3,2,Sample 3,Sample 4,Sample 3,Sample 4,1 (very bad fill),1 (very bad fill),2,3,Sample 4,Sample 2,Sample 3,Sample 2,1 (very bad fill),3,2,3,Sample 2,Sample 1,Sample 1,,,Europe,
08/04/2019 18:14:26,I'm not a musician,,,Sample 2,2,3,2,5 (very good fill),Sample 4,Sample 1,Sample 4,Sample 3,2,3,4,1 (very bad fill),Sample 3,Sample 4,Sample 3,Sample 4,2,2,4,4,Sample 3,Sample 2,Sample 4,Sample 1,2,2,3,1 (very bad fill),Sample 3,Sample 4,Sample 3,Sample 4,3,2,3,4,Sample 4,Sample 2,Sample 4,Sample 3,Yes,Asia,
08/04/2019 18:17:09,I'm not a musician,,,Sample 2,2,3,2,3,Sample 4,Sample 3,Sample 4,Sample 3,2,3,3,4,Sample 3,Sample 4,Sample 4,,2,3,3,4,Sample 3,Sample 4,Sample 3,Sample 1,2,4,4,4,Sample 2,Sample 4,Sample 2,Sample 4,4,2,3,3,Sample 1,Sample 2,Sample 1,Sample 2,,Europe,
08/04/2019 18:19:36,I'm not a musician,,,Sample 2,3,4,5 (very good fill),2,Sample 3,Sample 4,Sample 3,Sample 1,3,3,4,4,Sample 4,Sample 2,Sample 4,Sample 1,3,2,1 (very bad fill),3,Sample 2,Sample 3,Sample 2,Sample 3,,,,,,,,,,,,,,,,,,Europe,C'est dureuh la
